       JOBID USER     NAME       ST NTASKS NNODES     TIME INFO
   ƒUqg2DRpj ubuntu   cganalysis CD      1      1   29.77m i-0ff08d2ee5cb6ce50
   ƒUe9j5AyD ubuntu   cganalysis CD      1      1   29.77m i-0ef31940c36eef178
   ƒUdE6h9jm ubuntu   cganalysis CD      1      1   29.77m i-06b29aafb1a70a26d
   ƒUa9owX8b ubuntu   cganalysis CD      1      1   29.77m i-0a24037243f6f236a
   ƒQsen2Mh9 ubuntu   createsim  CD      1      1   8.697m i-0ff08d2ee5cb6ce50
   ƒQsidtVFD ubuntu   createsim  CD      1      1    8.26m i-0ef31940c36eef178
   ƒQskgVVno ubuntu   createsim  CD      1      1   8.222m i-09c9f9f61c227788d
   ƒQsgfjSYf ubuntu   createsim  CD      1      1   8.108m i-0a24037243f6f236a
   ƒBJkkdras ubuntu   cganalysis CD      1      1   29.93m i-06b29aafb1a70a26d
   ƒQoKcY2es ubuntu   mlrunner   CD      1      1   9.911s i-0ef31940c36eef178
   ƒQoMf93CT ubuntu   mlrunner   CD      1      1   9.806s i-0cff2c45620911e1d
   ƒQoJLQeZd ubuntu   mlrunner   CD      1      1   9.783s i-0a24037243f6f236a
   ƒQoH1KHuh ubuntu   mlrunner   CD      1      1   9.804s i-0ff08d2ee5cb6ce50
   ƒBBciNRsM ubuntu   cganalysis CD      1      1   29.96m i-09c9f9f61c227788d
   ƒB4z6WkWj ubuntu   cganalysis CD      1      1   30.11m i-0ef31940c36eef178
   ƒB8QW2duH ubuntu   cganalysis CD      1      1   29.98m i-0ff08d2ee5cb6ce50
   ƒB7BZxztP ubuntu   cganalysis CD      1      1   30.03m i-0cff2c45620911e1d
   ƒB7Tsq6gP ubuntu   cganalysis CD      1      1   30.02m i-0a24037243f6f236a
   ƒ7EcEYtcX ubuntu   createsim  CD      1      1   8.928m i-06b29aafb1a70a26d
   ƒ7DzCAMGK ubuntu   createsim  CD      1      1   8.682m i-09c9f9f61c227788d
   ƒ7GecDYfR ubuntu   createsim  CD      1      1   8.461m i-0ff08d2ee5cb6ce50
   ƒ7Eb1PV5y ubuntu   createsim  CD      1      1   8.504m i-0a24037243f6f236a
   ƒ7E1bhfmH ubuntu   createsim  CD      1      1   8.515m i-0cff2c45620911e1d
   ƒ7Dxm93V1 ubuntu   createsim  CD      1      1   8.432m i-0ef31940c36eef178
   ƒ7Bp5HSpw ubuntu   mlrunner   CD      1      1   10.93s i-0ff08d2ee5cb6ce50
   ƒ78L9BGYo ubuntu   mlrunner   CD      1      1   14.18s i-06b29aafb1a70a26d
   ƒ78Js3tTZ ubuntu   mlrunner   CD      1      1    14.2s i-0a24037243f6f236a
   ƒ78Niv21d ubuntu   mlrunner   CD      1      1   12.67s i-09c9f9f61c227788d
   ƒ78MUGdCj ubuntu   mlrunner   CD      1      1    12.7s i-0ef31940c36eef178
   ƒ78Q2XPPD ubuntu   mlrunner   CD      1      1   12.58s i-0cff2c45620911e1d
   ƒ78HWUYXH ubuntu   mlrunner    F      1      1   7.865s i-0ff08d2ee5cb6ce50
