NAME                                   READY   STATUS      RESTARTS   AGE   IP               NODE                                           NOMINATED NODE   READINESS GATES
cganalysis-structure-058971551-dw42n   0/1     Completed   0          32m   192.168.29.191   ip-192-168-19-59.us-east-2.compute.internal    <none>           <none>
cganalysis-structure-078462089-f4vfr   0/1     Completed   0          32m   192.168.24.44    ip-192-168-7-225.us-east-2.compute.internal    <none>           <none>
cganalysis-structure-084668165-bgt94   0/1     Completed   0          32m   192.168.24.106   ip-192-168-16-180.us-east-2.compute.internal   <none>           <none>
cganalysis-structure-090770340-6kc6t   0/1     Completed   0          31m   192.168.22.27    ip-192-168-19-216.us-east-2.compute.internal   <none>           <none>
cganalysis-structure-092849392-p4v94   0/1     Completed   0          32m   192.168.3.132    ip-192-168-7-38.us-east-2.compute.internal     <none>           <none>
cganalysis-structure-099868581-flphx   0/1     Completed   0          32m   192.168.23.167   ip-192-168-20-83.us-east-2.compute.internal    <none>           <none>
createsim-structure-058971551-b9rv2    0/1     Completed   0          58m   192.168.8.31     ip-192-168-7-225.us-east-2.compute.internal    <none>           <none>
createsim-structure-078462089-gln2h    0/1     Completed   0          58m   192.168.7.92     ip-192-168-19-59.us-east-2.compute.internal    <none>           <none>
createsim-structure-084668165-2mnfh    0/1     Completed   0          57m   192.168.14.180   ip-192-168-16-180.us-east-2.compute.internal   <none>           <none>
createsim-structure-090770340-q5t2n    0/1     Completed   0          58m   192.168.5.191    ip-192-168-19-216.us-east-2.compute.internal   <none>           <none>
createsim-structure-092849392-dkgjl    0/1     Completed   0          58m   192.168.7.174    ip-192-168-7-38.us-east-2.compute.internal     <none>           <none>
createsim-structure-099868581-j8j9m    0/1     Completed   0          57m   192.168.13.10    ip-192-168-20-83.us-east-2.compute.internal    <none>           <none>
mlrunner-structure-058971551-vdsm6     0/1     Completed   0          64m   192.168.9.166    ip-192-168-7-225.us-east-2.compute.internal    <none>           <none>
mlrunner-structure-078462089-qfvkn     0/1     Completed   0          64m   192.168.26.176   ip-192-168-19-59.us-east-2.compute.internal    <none>           <none>
mlrunner-structure-084668165-k8bct     0/1     Completed   0          64m   192.168.17.170   ip-192-168-16-180.us-east-2.compute.internal   <none>           <none>
mlrunner-structure-090770340-zkk75     0/1     Completed   0          64m   192.168.6.220    ip-192-168-7-38.us-east-2.compute.internal     <none>           <none>
mlrunner-structure-092849392-qs5nb     0/1     Completed   0          64m   192.168.0.133    ip-192-168-19-216.us-east-2.compute.internal   <none>           <none>
mlrunner-structure-099868581-lncdv     0/1     Completed   0          64m   192.168.3.43     ip-192-168-20-83.us-east-2.compute.internal    <none>           <none>
mummi-manager-8d8dcb588-pcl29          1/1     Running     0          64m   192.168.31.43    ip-192-168-19-216.us-east-2.compute.internal   <none>           <none>
registry-0                             1/1     Running     0          64m   192.168.21.193   ip-192-168-20-83.us-east-2.compute.internal    <none>           <none>
