I0315 19:32:48.208867       1 flags.go:57] FLAG: --add-dir-header="false"
I0315 19:32:48.208920       1 flags.go:57] FLAG: --address=":8085"
I0315 19:32:48.208924       1 flags.go:57] FLAG: --alsologtostderr="false"
I0315 19:32:48.208926       1 flags.go:57] FLAG: --aws-use-static-instance-list="false"
I0315 19:32:48.208930       1 flags.go:57] FLAG: --balance-similar-node-groups="false"
I0315 19:32:48.208932       1 flags.go:57] FLAG: --balancing-ignore-label="[]"
I0315 19:32:48.208940       1 flags.go:57] FLAG: --balancing-label="[]"
I0315 19:32:48.208947       1 flags.go:57] FLAG: --cloud-config=""
I0315 19:32:48.208951       1 flags.go:57] FLAG: --cloud-provider="aws"
I0315 19:32:48.208956       1 flags.go:57] FLAG: --cloud-provider-gce-l7lb-src-cidrs="130.211.0.0/22,35.191.0.0/16"
I0315 19:32:48.208963       1 flags.go:57] FLAG: --cloud-provider-gce-lb-src-cidrs="130.211.0.0/22,209.85.152.0/22,209.85.204.0/22,35.191.0.0/16"
I0315 19:32:48.208970       1 flags.go:57] FLAG: --cluster-name=""
I0315 19:32:48.208975       1 flags.go:57] FLAG: --clusterapi-cloud-config-authoritative="false"
I0315 19:32:48.208983       1 flags.go:57] FLAG: --cordon-node-before-terminating="false"
I0315 19:32:48.208987       1 flags.go:57] FLAG: --cores-total="0:320000"
I0315 19:32:48.208992       1 flags.go:57] FLAG: --daemonset-eviction-for-empty-nodes="false"
I0315 19:32:48.208997       1 flags.go:57] FLAG: --daemonset-eviction-for-occupied-nodes="true"
I0315 19:32:48.209001       1 flags.go:57] FLAG: --debugging-snapshot-enabled="false"
I0315 19:32:48.209034       1 flags.go:57] FLAG: --emit-per-nodegroup-metrics="false"
I0315 19:32:48.209046       1 flags.go:57] FLAG: --enforce-node-group-min-size="false"
I0315 19:32:48.209050       1 flags.go:57] FLAG: --estimator="binpacking"
I0315 19:32:48.209055       1 flags.go:57] FLAG: --expander="least-waste"
I0315 19:32:48.209059       1 flags.go:57] FLAG: --expendable-pods-priority-cutoff="-10"
I0315 19:32:48.209074       1 flags.go:57] FLAG: --feature-gates=""
I0315 19:32:48.209080       1 flags.go:57] FLAG: --gce-concurrent-refreshes="1"
I0315 19:32:48.209093       1 flags.go:57] FLAG: --gce-expander-ephemeral-storage-support="false"
I0315 19:32:48.209102       1 flags.go:57] FLAG: --gpu-total="[]"
I0315 19:32:48.209105       1 flags.go:57] FLAG: --grpc-expander-cert=""
I0315 19:32:48.209108       1 flags.go:57] FLAG: --grpc-expander-url=""
I0315 19:32:48.209110       1 flags.go:57] FLAG: --ignore-daemonsets-utilization="false"
I0315 19:32:48.209112       1 flags.go:57] FLAG: --ignore-mirror-pods-utilization="false"
I0315 19:32:48.209116       1 flags.go:57] FLAG: --ignore-taint="[]"
I0315 19:32:48.209120       1 flags.go:57] FLAG: --initial-node-group-backoff-duration="5m0s"
I0315 19:32:48.209122       1 flags.go:57] FLAG: --kubeconfig=""
I0315 19:32:48.209125       1 flags.go:57] FLAG: --kubernetes=""
I0315 19:32:48.209127       1 flags.go:57] FLAG: --leader-elect="true"
I0315 19:32:48.209131       1 flags.go:57] FLAG: --leader-elect-lease-duration="15s"
I0315 19:32:48.209135       1 flags.go:57] FLAG: --leader-elect-renew-deadline="10s"
I0315 19:32:48.209137       1 flags.go:57] FLAG: --leader-elect-resource-lock="leases"
I0315 19:32:48.209142       1 flags.go:57] FLAG: --leader-elect-resource-name="cluster-autoscaler"
I0315 19:32:48.209157       1 flags.go:57] FLAG: --leader-elect-resource-namespace=""
I0315 19:32:48.209161       1 flags.go:57] FLAG: --leader-elect-retry-period="2s"
I0315 19:32:48.209164       1 flags.go:57] FLAG: --log-backtrace-at=":0"
I0315 19:32:48.209183       1 flags.go:57] FLAG: --log-dir=""
I0315 19:32:48.209203       1 flags.go:57] FLAG: --log-file=""
I0315 19:32:48.209222       1 flags.go:57] FLAG: --log-file-max-size="1800"
I0315 19:32:48.209226       1 flags.go:57] FLAG: --logtostderr="true"
I0315 19:32:48.209229       1 flags.go:57] FLAG: --max-autoprovisioned-node-group-count="15"
I0315 19:32:48.209232       1 flags.go:57] FLAG: --max-bulk-soft-taint-count="10"
I0315 19:32:48.209235       1 flags.go:57] FLAG: --max-bulk-soft-taint-time="3s"
I0315 19:32:48.209237       1 flags.go:57] FLAG: --max-drain-parallelism="1"
I0315 19:32:48.209240       1 flags.go:57] FLAG: --max-empty-bulk-delete="10"
I0315 19:32:48.209244       1 flags.go:57] FLAG: --max-failing-time="15m0s"
I0315 19:32:48.209247       1 flags.go:57] FLAG: --max-graceful-termination-sec="600"
I0315 19:32:48.209249       1 flags.go:57] FLAG: --max-inactivity="10m0s"
I0315 19:32:48.209252       1 flags.go:57] FLAG: --max-node-group-backoff-duration="30m0s"
I0315 19:32:48.209255       1 flags.go:57] FLAG: --max-node-provision-time="15m0s"
I0315 19:32:48.209258       1 flags.go:57] FLAG: --max-nodegroup-binpacking-duration="10s"
I0315 19:32:48.209261       1 flags.go:57] FLAG: --max-nodes-per-scaleup="1000"
I0315 19:32:48.209265       1 flags.go:57] FLAG: --max-nodes-total="0"
I0315 19:32:48.209268       1 flags.go:57] FLAG: --max-pod-eviction-time="2m0s"
I0315 19:32:48.209271       1 flags.go:57] FLAG: --max-scale-down-parallelism="10"
I0315 19:32:48.209273       1 flags.go:57] FLAG: --max-total-unready-percentage="45"
