,experiment,function,job,duration,iteration
79,gpu-static,createsims_gromacs_make_ndx,createsim,5.608798980712891,2
80,gpu-static,createsims_gromacs_make_ndx,createsim,5.605149030685425,3
81,gpu-static,createsims_mdrun_lipids_water,createsim,87.0337302684784,1
82,gpu-static,createsims_mdrun_lipids_water,createsim,64.51361632347107,2
83,gpu-static,createsims_mdrun_lipids_water,createsim,27.60974144935608,3
84,gpu-static,createsims_prime_cg_sim,createsim,18.76606774330139,1
85,gpu-static,createsims_prime_cg_sim,createsim,18.08819079399109,2
86,gpu-static,createsims_prime_cg_sim,createsim,18.154787302017212,3
87,gpu-static,createsims_pull_molecules,createsim,3964.7560369968414,1
88,gpu-static,createsims_pull_molecules,createsim,3970.230630159378,2
89,gpu-static,createsims_pull_molecules,createsim,3988.0074651241302,3
90,gpu-static,createsims_relax_protein,createsim,340.01817202568054,1
91,gpu-static,createsims_relax_protein,createsim,341.5381429195404,2
92,gpu-static,createsims_relax_protein,createsim,342.3268246650696,3
93,gpu-static,createsims_setup_cg_sim,createsim,6914.7922558784485,1
94,gpu-static,createsims_setup_cg_sim,createsim,6933.433741569519,2
95,gpu-static,createsims_setup_cg_sim,createsim,6890.700220584869,3
96,gpu-static,createsims_short_equilibration,createsim,2005.8861813545227,1
97,gpu-static,createsims_short_equilibration,createsim,2010.0095887184143,2
98,gpu-static,createsims_short_equilibration,createsim,2023.7707982063293,3
99,gpu-static,createsims_trjconv_lipids_water,createsim,10.202127933502197,1
100,gpu-static,createsims_trjconv_lipids_water,createsim,9.774399280548096,2
101,gpu-static,createsims_trjconv_lipids_water,createsim,3.5369362831115723,3
