,experiment,job,sample,event,duration,global,iteration
56,flux-cpu,createsim,structure_092923284,createsims_mdrun_lipids_water_0,1.7296085357666016,createsims_mdrun_lipids_water,1
57,flux-cpu,createsim,structure_092923284,createsims_trjconv_lipids_water_0,0.2413315773010254,createsims_trjconv_lipids_water,1
58,flux-cpu,createsim,structure_092923284,createsims_gromacs_make_ndx_0,0.5167627334594727,createsims_gromacs_make_ndx,1
59,flux-cpu,createsim,structure_092923284,createsims_generate_velocities_0,33.515101194381714,createsims_generate_velocities,1
60,flux-cpu,createsim,structure_092923284,createsims_short_equilibration_0,71.83554029464722,createsims_short_equilibration,1
61,flux-cpu,createsim,structure_092923284,createsims_pull_molecules_0,285.9035632610321,createsims_pull_molecules,1
62,flux-cpu,createsim,structure_092923284,createsims_relax_protein,23.067517518997192,createsims_relax_protein,1
63,flux-cpu,createsim,structure_092923284,createsims_short_equilibration_20fs,69.3803870677948,createsims_short_equilibration,1
64,flux-cpu,createsim,structure_092923284,createsims_prime_cg_sim,1.2895069122314453,createsims_prime_cg_sim,1
65,flux-cpu,createsim,structure_000920520,createsim_runtime,489.8743054866791,createsim_runtime,1
66,flux-cpu,createsim,structure_000920520,createsims_create_cg_patch,0.003539562225341797,createsims_create_cg_patch,1
67,flux-cpu,createsim,structure_000920520,createsims_setup_cg_sim,488.49247455596924,createsims_setup_cg_sim,1
68,flux-cpu,createsim,structure_000920520,createsims_gromacs_energy_minimization_0,3.5359537601470947,createsims_gromacs_energy_minimization,1
69,flux-cpu,createsim,structure_000920520,createsims_mdrun_lipids_water_0,1.763453483581543,createsims_mdrun_lipids_water,1
70,flux-cpu,createsim,structure_000920520,createsims_trjconv_lipids_water_0,0.2494034767150879,createsims_trjconv_lipids_water,1
71,flux-cpu,createsim,structure_000920520,createsims_gromacs_make_ndx_0,0.5123686790466309,createsims_gromacs_make_ndx,1
72,flux-cpu,createsim,structure_000920520,createsims_generate_velocities_0,34.333815574645996,createsims_generate_velocities,1
73,flux-cpu,createsim,structure_000920520,createsims_short_equilibration_0,70.8725278377533,createsims_short_equilibration,1
74,flux-cpu,createsim,structure_000920520,createsims_pull_molecules_0,280.3842124938965,createsims_pull_molecules,1
75,flux-cpu,createsim,structure_000920520,createsims_relax_protein,23.51773238182068,createsims_relax_protein,1
76,flux-cpu,createsim,structure_000920520,createsims_short_equilibration_20fs,69.65221953392029,createsims_short_equilibration,1
77,flux-cpu,createsim,structure_000920520,createsims_prime_cg_sim,1.3110811710357666,createsims_prime_cg_sim,1
78,flux-cpu,createsim,structure_001913380,createsims_create_cg_patch,0.0025665760040283203,createsims_create_cg_patch,1
79,flux-cpu,createsim,structure_001913380,createsims_gromacs_energy_minimization_0,1.0541141033172607,createsims_gromacs_energy_minimization,1
80,flux-cpu,createsim,structure_001913380,createsims_mdrun_lipids_water_0,0.2528660297393799,createsims_mdrun_lipids_water,1
81,flux-cpu,createsim,structure_001913380,createsims_trjconv_lipids_water_0,0.2447206974029541,createsims_trjconv_lipids_water,1
82,flux-cpu,createsim,structure_001913380,createsims_gromacs_energy_minimization_1,0.9344978332519531,createsims_gromacs_energy_minimization,1
83,flux-cpu,createsim,structure_001913380,createsims_mdrun_lipids_water_1,1.7491283416748047,createsims_mdrun_lipids_water,1
84,flux-cpu,createsim,structure_001913380,createsims_trjconv_lipids_water_1,0.24447321891784668,createsims_trjconv_lipids_water,1
85,flux-cpu,createsim,structure_001913380,createsims_gromacs_energy_minimization_2,0.9285378456115723,createsims_gromacs_energy_minimization,1
86,flux-cpu,createsim,structure_001913380,createsims_mdrun_lipids_water_2,1.7252075672149658,createsims_mdrun_lipids_water,1
87,flux-cpu,createsim,structure_001913380,createsims_trjconv_lipids_water_2,0.2424328327178955,createsims_trjconv_lipids_water,1
88,flux-cpu,createsim,structure_001913380,createsims_gromacs_energy_minimization_3,0.9279046058654785,createsims_gromacs_energy_minimization,1
89,flux-cpu,createsim,structure_001913380,createsims_mdrun_lipids_water_3,0.2526419162750244,createsims_mdrun_lipids_water,1
90,flux-cpu,createsim,structure_001913380,createsims_trjconv_lipids_water_3,0.23822307586669922,createsims_trjconv_lipids_water,1
91,flux-cpu,createsim,structure_001913380,createsims_gromacs_energy_minimization_4,0.9306848049163818,createsims_gromacs_energy_minimization,1
92,flux-cpu,createsim,structure_001913380,createsims_mdrun_lipids_water_4,1.8875868320465088,createsims_mdrun_lipids_water,1
93,flux-cpu,createsim,structure_001913380,createsims_trjconv_lipids_water_4,0.24207472801208496,createsims_trjconv_lipids_water,1
94,flux-cpu,createsim,structure_001913380,createsims_gromacs_energy_minimization_5,0.9277243614196777,createsims_gromacs_energy_minimization,1
95,flux-cpu,createsim,structure_001913380,createsims_mdrun_lipids_water_5,1.8048181533813477,createsims_mdrun_lipids_water,1
96,flux-cpu,createsim,structure_001913380,createsims_trjconv_lipids_water_5,0.25037074089050293,createsims_trjconv_lipids_water,1
97,flux-cpu,createsim,structure_001913380,createsims_gromacs_energy_minimization_6,0.9294044971466064,createsims_gromacs_energy_minimization,1
