,experiment,job,count,iteration
0,gpu-static,mlsample,26,0
1,gpu-static,createsim,24,0
2,gpu-static,cganalysis,10,0
3,gpu-static,mlsample,26,1
4,gpu-static,createsim,24,1
5,gpu-static,cganalysis,10,1
6,gpu-static,mlsample,28,2
7,gpu-static,createsim,26,2
8,gpu-static,cganalysis,10,2
