,experiment,job,count,iteration
0,gpu-static,mlsample,16,0
1,gpu-static,createsim,14,0
2,gpu-static,cganalysis,0,0
3,gpu-static,mlsample,16,1
4,gpu-static,createsim,14,1
5,gpu-static,cganalysis,0,1
6,gpu-static,mlsample,18,2
7,gpu-static,createsim,16,2
8,gpu-static,cganalysis,0,2
