,experiment,function,duration,iteration
0,gpu-static,wfmanager_add_new_patches_mlserver,16.92704749107361,0
1,gpu-static,wfmanager_add_new_patches_mlserver,16.95131015777588,1
2,gpu-static,wfmanager_add_new_patches_mlserver,27.85952854156494,2
3,gpu-static,wfmanager_init_mlserver,15.065907001495361,0
4,gpu-static,wfmanager_init_mlserver,15.07940125465393,1
5,gpu-static,wfmanager_init_mlserver,25.111826181411743,2
6,gpu-static,wfmanager_run_workflow,7966.996721029282,0
7,gpu-static,wfmanager_run_workflow,7951.7755382061005,1
8,gpu-static,wfmanager_run_workflow,7844.771843671799,2
9,gpu-static,wfmanager_update_jobs,10.52329683303833,0
10,gpu-static,wfmanager_update_jobs,11.101483345031738,1
11,gpu-static,wfmanager_update_jobs,10.017922163009644,2
