,name,kind,job,event,duration,container,experiment
0,aws-node-bsgcv,Pod,,pulled-timestamp,1742189330.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
1,aws-node-bsgcv,Pod,,pulling-timestamp,1742189328.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
2,aws-node-bsgcv,Pod,,scheduled-timestamp,1742189317.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
3,aws-node-bsgcv,Pod,,created-timestamp,1742189330.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
4,aws-node-bsgcv,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
5,aws-node-bsgcv,Pod,,started-timestamp,1742189330.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
6,aws-node-bsgcv,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
7,aws-node-bsgcv,Pod,,pulled,1.576874058,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
8,aws-node-jmkgt,Pod,,pulled-timestamp,1742189329.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
9,aws-node-jmkgt,Pod,,pulling-timestamp,1742189327.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
10,aws-node-jmkgt,Pod,,scheduled-timestamp,1742189316.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
11,aws-node-jmkgt,Pod,,created-timestamp,1742189329.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
12,aws-node-jmkgt,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
13,aws-node-jmkgt,Pod,,started-timestamp,1742189329.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
14,aws-node-jmkgt,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
15,aws-node-jmkgt,Pod,,pulled,1.503493888,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
16,aws-node-lfwgx,Pod,,pulled-timestamp,1742189329.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,gpu-static
