,experiment,event,duration,global
60,cpu-static,wfmanager_add_new_patches_mlserver_14,0.12483620643615723,wfmanager_add_new_patches_mlserver
61,cpu-static,wfmanager_add_new_patches_to_ml_14,1.621246337890625e-05,wfmanager_add_new_patches_to_ml
62,cpu-static,wfmanager_add_cgframes_to_ml_14,2.0503997802734375e-05,wfmanager_add_cgframes_to_ml
63,cpu-static,wfmanager_update_jobs_14,0.5233993530273438,wfmanager_update_jobs
64,cpu-static,wfmanager_add_new_patches_mlserver_15,0.1206827163696289,wfmanager_add_new_patches_mlserver
65,cpu-static,wfmanager_add_new_patches_to_ml_15,1.3113021850585938e-05,wfmanager_add_new_patches_to_ml
66,cpu-static,wfmanager_add_cgframes_to_ml_15,1.7642974853515625e-05,wfmanager_add_cgframes_to_ml
67,cpu-static,wfmanager_update_jobs_15,0.531548261642456,wfmanager_update_jobs
68,cpu-static,wfmanager_add_new_patches_mlserver_16,0.1478588581085205,wfmanager_add_new_patches_mlserver
69,cpu-static,wfmanager_add_new_patches_to_ml_16,1.2636184692382812e-05,wfmanager_add_new_patches_to_ml
70,cpu-static,wfmanager_add_cgframes_to_ml_16,1.7881393432617188e-05,wfmanager_add_cgframes_to_ml
71,cpu-static,wfmanager_update_jobs_16,0.5797419548034668,wfmanager_update_jobs
72,cpu-static,wfmanager_add_new_patches_mlserver_17,0.09905552864074707,wfmanager_add_new_patches_mlserver
73,cpu-static,wfmanager_add_new_patches_to_ml_17,1.3113021850585938e-05,wfmanager_add_new_patches_to_ml
74,cpu-static,wfmanager_add_cgframes_to_ml_17,1.9073486328125e-05,wfmanager_add_cgframes_to_ml
75,cpu-static,wfmanager_update_jobs_17,0.46373629570007324,wfmanager_update_jobs
76,cpu-static,wfmanager_add_new_patches_mlserver_18,0.1596364974975586,wfmanager_add_new_patches_mlserver
77,cpu-static,wfmanager_add_new_patches_to_ml_18,1.4066696166992188e-05,wfmanager_add_new_patches_to_ml
78,cpu-static,wfmanager_add_cgframes_to_ml_18,1.9073486328125e-05,wfmanager_add_cgframes_to_ml
79,cpu-static,wfmanager_update_jobs_18,0.6095983982086182,wfmanager_update_jobs
80,cpu-static,wfmanager_add_new_patches_mlserver_19,0.1058204174041748,wfmanager_add_new_patches_mlserver
81,cpu-static,wfmanager_add_new_patches_to_ml_19,1.5735626220703125e-05,wfmanager_add_new_patches_to_ml
82,cpu-static,wfmanager_add_cgframes_to_ml_19,1.9550323486328125e-05,wfmanager_add_cgframes_to_ml
83,cpu-static,wfmanager_update_jobs_19,0.6149876117706299,wfmanager_update_jobs
84,cpu-static,wfmanager_add_new_patches_mlserver_20,0.12352371215820312,wfmanager_add_new_patches_mlserver
85,cpu-static,wfmanager_add_new_patches_to_ml_20,2.3126602172851562e-05,wfmanager_add_new_patches_to_ml
86,cpu-static,wfmanager_add_cgframes_to_ml_20,1.5974044799804688e-05,wfmanager_add_cgframes_to_ml
87,cpu-static,wfmanager_update_jobs_20,0.5155971050262451,wfmanager_update_jobs
88,cpu-static,wfmanager_add_new_patches_mlserver_21,0.15603876113891602,wfmanager_add_new_patches_mlserver
89,cpu-static,wfmanager_add_new_patches_to_ml_21,1.9073486328125e-05,wfmanager_add_new_patches_to_ml
90,cpu-static,wfmanager_add_cgframes_to_ml_21,5.8650970458984375e-05,wfmanager_add_cgframes_to_ml
91,cpu-static,wfmanager_update_jobs_21,0.529698371887207,wfmanager_update_jobs
92,cpu-static,wfmanager_add_new_patches_mlserver_22,0.09275245666503906,wfmanager_add_new_patches_mlserver
93,cpu-static,wfmanager_add_new_patches_to_ml_22,1.9788742065429688e-05,wfmanager_add_new_patches_to_ml
94,cpu-static,wfmanager_add_cgframes_to_ml_22,4.267692565917969e-05,wfmanager_add_cgframes_to_ml
95,cpu-static,wfmanager_update_jobs_22,0.424391508102417,wfmanager_update_jobs
96,cpu-static,wfmanager_add_new_patches_mlserver_23,0.09015297889709473,wfmanager_add_new_patches_mlserver
97,cpu-static,wfmanager_add_new_patches_to_ml_23,1.7881393432617188e-05,wfmanager_add_new_patches_to_ml
98,cpu-static,wfmanager_add_cgframes_to_ml_23,1.9073486328125e-05,wfmanager_add_cgframes_to_ml
99,cpu-static,wfmanager_update_jobs_23,0.445819616317749,wfmanager_update_jobs
100,cpu-static,wfmanager_add_new_patches_mlserver_24,0.1358203887939453,wfmanager_add_new_patches_mlserver
101,cpu-static,wfmanager_add_new_patches_to_ml_24,1.3828277587890625e-05,wfmanager_add_new_patches_to_ml
102,cpu-static,wfmanager_add_cgframes_to_ml_24,1.9788742065429688e-05,wfmanager_add_cgframes_to_ml
103,cpu-static,wfmanager_update_jobs_24,0.5030989646911621,wfmanager_update_jobs
104,cpu-static,wfmanager_add_new_patches_mlserver_25,0.10103774070739746,wfmanager_add_new_patches_mlserver
105,cpu-static,wfmanager_add_new_patches_to_ml_25,1.3113021850585938e-05,wfmanager_add_new_patches_to_ml
106,cpu-static,wfmanager_add_cgframes_to_ml_25,1.4543533325195312e-05,wfmanager_add_cgframes_to_ml
107,cpu-static,wfmanager_update_jobs_25,0.4949758052825928,wfmanager_update_jobs
108,cpu-static,wfmanager_add_new_patches_mlserver_26,0.17011594772338867,wfmanager_add_new_patches_mlserver
109,cpu-static,wfmanager_add_new_patches_to_ml_26,1.3589859008789062e-05,wfmanager_add_new_patches_to_ml
110,cpu-static,wfmanager_add_cgframes_to_ml_26,1.33514404296875e-05,wfmanager_add_cgframes_to_ml
111,cpu-static,wfmanager_update_jobs_26,0.5634596347808838,wfmanager_update_jobs
112,cpu-static,wfmanager_add_new_patches_mlserver_27,0.11707901954650879,wfmanager_add_new_patches_mlserver
113,cpu-static,wfmanager_add_new_patches_to_ml_27,1.2159347534179688e-05,wfmanager_add_new_patches_to_ml
114,cpu-static,wfmanager_add_cgframes_to_ml_27,1.9311904907226562e-05,wfmanager_add_cgframes_to_ml
115,cpu-static,wfmanager_update_jobs_27,0.6236200332641602,wfmanager_update_jobs
116,cpu-static,wfmanager_add_new_patches_mlserver_28,0.1351313591003418,wfmanager_add_new_patches_mlserver
117,cpu-static,wfmanager_add_new_patches_to_ml_28,1.3589859008789062e-05,wfmanager_add_new_patches_to_ml
