       JOBID USER     NAME       ST NTASKS NNODES     TIME INFO
  ƒ3sibuRXwD ubuntu   cganalysis CD      1      1   29.81m i-0736e864e12f26c05
  ƒ3sY1YT9hH ubuntu   cganalysis CD      1      1    29.8m i-0ddcdd3e4148b6341
  ƒ3sUKHkwaw ubuntu   cganalysis CD      1      1    29.8m i-05c5ad7a2c0e69096
  ƒ3sKYebLuD ubuntu   cganalysis CD      1      1    29.8m i-0de12c6c888a06746
  ƒ3nNJq3u11 ubuntu   createsim  CD      1      1   11.73m i-0736e864e12f26c05
  ƒ3nHUVyhRH ubuntu   createsim  CD      1      1   11.51m i-0ddcdd3e4148b6341
  ƒ3nEv7oaXZ ubuntu   createsim  CD      1      1   11.47m i-0573165421488a571
  ƒ3nAddyx5V ubuntu   createsim  CD      1      1    11.3m i-05c5ad7a2c0e69096
  ƒ3nEqeMkDD ubuntu   mlrunner   CD      1      1   16.68s i-0736e864e12f26c05
  ƒ3Yk2beSjq ubuntu   cganalysis CD      1      1   29.81m i-0de12c6c888a06746
  ƒ3nAKYLiZM ubuntu   mlrunner   CD      1      1   15.97s i-0ddcdd3e4148b6341
  ƒ3YgJZB6uM ubuntu   cganalysis CD      1      1   29.81m i-0757c9a3fbc70239a
  ƒ3n7fdwGo9 ubuntu   mlrunner   CD      1      1   16.39s i-0573165421488a571
  ƒ3Yea8FkgX ubuntu   cganalysis CD      1      1   29.81m i-0736e864e12f26c05
  ƒ3n3hyGXks ubuntu   mlrunner   CD      1      1   15.65s i-05c5ad7a2c0e69096
  ƒ3Ya7uaqs5 ubuntu   cganalysis CD      1      1    29.8m i-0ddcdd3e4148b6341
  ƒ3YXRenYB9 ubuntu   cganalysis CD      1      1   29.81m i-0573165421488a571
  ƒ3YTWK2fnF ubuntu   cganalysis CD      1      1    29.8m i-05c5ad7a2c0e69096
  ƒ3TKJ27Ysq ubuntu   createsim  CD      1      1    11.9m i-0de12c6c888a06746
  ƒ3TKFhCgET ubuntu   createsim  CD      1      1   11.76m i-0757c9a3fbc70239a
  ƒ3TKDhZeFZ ubuntu   createsim  CD      1      1   11.69m i-0736e864e12f26c05
  ƒ3TK2TF6Fq ubuntu   createsim  CD      1      1   11.53m i-0ddcdd3e4148b6341
  ƒ3TK6EfFxs ubuntu   createsim  CD      1      1   11.43m i-0573165421488a571
  ƒ3TJu6Gf6X ubuntu   createsim  CD      1      1   11.29m i-05c5ad7a2c0e69096
  ƒ3TBuztu1h ubuntu   mlrunner   CD      1      1   16.66s i-0de12c6c888a06746
  ƒ3TBy3KRYj ubuntu   mlrunner   CD      1      1   16.41s i-0757c9a3fbc70239a
  ƒ3TBtWucfh ubuntu   mlrunner   CD      1      1   16.58s i-0736e864e12f26c05
  ƒ3TBzVpicP ubuntu   mlrunner   CD      1      1   16.05s i-0573165421488a571
  ƒ3TBs4QKc3 ubuntu   mlrunner   CD      1      1    16.2s i-0ddcdd3e4148b6341
  ƒ3TBwTQC5M ubuntu   mlrunner   CD      1      1   15.61s i-05c5ad7a2c0e69096
