NAME                                   READY   STATUS      RESTARTS   AGE   IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-001475307-c5sbf   0/1     Completed   0          33m   192.168.24.172   ip-192-168-15-235.ec2.internal   <none>           <none>
cganalysis-structure-010902244-vc9sw   0/1     Completed   0          33m   192.168.4.60     ip-192-168-23-226.ec2.internal   <none>           <none>
cganalysis-structure-020461882-m59sc   0/1     Completed   0          33m   192.168.28.156   ip-192-168-22-58.ec2.internal    <none>           <none>
cganalysis-structure-022667572-s4pmd   0/1     Completed   0          33m   192.168.22.181   ip-192-168-10-9.ec2.internal     <none>           <none>
cganalysis-structure-071363271-n9t2g   0/1     Completed   0          33m   192.168.24.121   ip-192-168-15-34.ec2.internal    <none>           <none>
cganalysis-structure-078565269-hjmzt   0/1     Completed   0          33m   192.168.30.228   ip-192-168-7-182.ec2.internal    <none>           <none>
createsim-structure-001475307-csm5r    0/1     Completed   0          48m   192.168.7.2      ip-192-168-15-235.ec2.internal   <none>           <none>
createsim-structure-010902244-9xx2d    0/1     Completed   0          48m   192.168.20.161   ip-192-168-23-226.ec2.internal   <none>           <none>
createsim-structure-020461882-tlpkd    0/1     Completed   0          48m   192.168.25.12    ip-192-168-22-58.ec2.internal    <none>           <none>
createsim-structure-022667572-9svqn    0/1     Completed   0          48m   192.168.7.160    ip-192-168-10-9.ec2.internal     <none>           <none>
createsim-structure-071363271-7f4gh    0/1     Completed   0          48m   192.168.2.198    ip-192-168-15-34.ec2.internal    <none>           <none>
createsim-structure-078565269-9jzm8    0/1     Completed   0          48m   192.168.23.42    ip-192-168-7-182.ec2.internal    <none>           <none>
mlrunner-structure-001475307-sgs9r     0/1     Completed   0          56m   192.168.11.60    ip-192-168-22-58.ec2.internal    <none>           <none>
mlrunner-structure-010902244-88jxd     0/1     Completed   0          56m   192.168.18.76    ip-192-168-23-226.ec2.internal   <none>           <none>
mlrunner-structure-020461882-4tl82     0/1     Completed   0          56m   192.168.23.105   ip-192-168-15-235.ec2.internal   <none>           <none>
mlrunner-structure-022667572-b6hw6     0/1     Completed   0          56m   192.168.20.139   ip-192-168-10-9.ec2.internal     <none>           <none>
mlrunner-structure-071363271-zxzl4     0/1     Completed   0          56m   192.168.13.52    ip-192-168-15-34.ec2.internal    <none>           <none>
mlrunner-structure-078565269-dqcjd     0/1     Completed   0          56m   192.168.16.248   ip-192-168-7-182.ec2.internal    <none>           <none>
mummi-manager-86ddd95986-5gctw         1/1     Running     0          56m   192.168.20.93    ip-192-168-7-182.ec2.internal    <none>           <none>
registry-0                             1/1     Running     0          56m   192.168.21.189   ip-192-168-10-9.ec2.internal     <none>           <none>
