,instance,iteration,event,duration,global,spot,hourly_cost,hours,cost
66,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_create_cg_patch,0.0006301403045654297,createsims_create_cg_patch,on-demand,2.463,1.7503897349039713e-07,4.3112099170684815e-07
67,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_setup_cg_sim,583.2409167289734,createsims_setup_cg_sim,on-demand,2.463,0.16201136575804814,0.3990339938620726
68,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_0,0.5757572650909424,createsims_gromacs_energy_minimization,on-demand,2.463,0.00015993257363637289,0.00039391392886638644
69,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_0,1.6730232238769531,createsims_mdrun_lipids_water,on-demand,2.463,0.00046472867329915365,0.0011446267223358154
70,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_0,0.13477182388305664,createsims_trjconv_lipids_water,on-demand,2.463,3.743661774529351e-05,9.220638950665792e-05
71,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_make_ndx_0,0.31798672676086426,createsims_gromacs_make_ndx,on-demand,2.463,8.832964632246231e-05,0.00021755591889222468
72,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_generate_velocities_0,39.56031322479248,createsims_generate_velocities,on-demand,2.463,0.01098897589577569,0.027065847631295523
73,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_short_equilibration_0,79.96355938911438,createsims_short_equilibration,on-demand,2.463,0.02221209983030955,0.05470840188205242
74,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_pull_molecules_0,337.10565543174744,createsims_pull_molecules,on-demand,2.463,0.09364045984215207,0.23063645259122054
75,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_relax_protein,29.0290424823761,createsims_relax_protein,on-demand,2.463,0.008063622911771139,0.019860703231692315
76,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_short_equilibration_20fs,92.87320971488953,createsims_short_equilibration,on-demand,2.463,0.025798113809691537,0.06354075431327026
77,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsims_prime_cg_sim,0.7746877670288086,createsims_prime_cg_sim,on-demand,2.463,0.00021519104639689126,0.0005300155472755432
78,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,556.4058754444122,createsim_runtime,on-demand,2.463,0.15455718762344786,0.3806743531165521
79,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_create_cg_patch,0.0006272792816162109,createsims_create_cg_patch,on-demand,2.463,1.7424424489339193e-07,4.291635751724243e-07
80,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_setup_cg_sim,555.631329536438,createsims_setup_cg_sim,on-demand,2.463,0.1543420359823439,0.38014443462451303
81,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_gromacs_energy_minimization_0,0.5949337482452393,createsims_gromacs_energy_minimization,on-demand,2.463,0.00016525937451256645,0.0004070338394244512
82,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_mdrun_lipids_water_0,1.589590072631836,createsims_mdrun_lipids_water,on-demand,2.463,0.00044155279795328776,0.0010875445413589479
83,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsims_trjconv_lipids_water_0,0.14465832710266113,createsims_trjconv_lipids_water,on-demand,2.463,4.018286863962809e-05,9.897040545940399e-05
