,experiment,event,duration,global
0,cpu-static,workflow_start,3101.3518528938293,workflow_complete
1,cpu-static,mlrunner,38.30379796028137,mlrunner_success
2,cpu-static,mlrunner,35.864505767822266,mlrunner_failure
3,cpu-static,mlrunner,37.13552403450012,mlrunner_success
4,cpu-static,mlrunner,37.369683504104614,mlrunner_failure
5,cpu-static,mlrunner,38.506805419921875,mlrunner_success
6,cpu-static,mlrunner,36.77323937416077,mlrunner_success
7,cpu-static,mlrunner,38.94332146644592,mlrunner_success
8,cpu-static,createsim,1156.0261704921722,createsim_success
9,cpu-static,createsim,1128.9468684196472,createsim_success
10,cpu-static,mlrunner,38.990251302719116,mlrunner_success
11,cpu-static,createsim,1139.7827923297882,createsim_success
12,cpu-static,createsim,1174.7172009944916,createsim_success
13,cpu-static,createsim,1154.0179722309113,createsim_success
14,cpu-static,createsim,1087.025239944458,createsim_success
15,cpu-static,cganalysis,1904.6567571163177,cganalysis_success
16,cpu-static,cganalysis,1880.3697159290314,cganalysis_success
17,cpu-static,cganalysis,1859.4976437091827,cganalysis_success
18,cpu-static,cganalysis,1872.5011098384857,cganalysis_success
19,cpu-static,cganalysis,1860.3764207363129,cganalysis_success
20,cpu-static,cganalysis,1871.7474069595337,cganalysis_success
21,gpu-static,workflow_start,3327.1528792381287,workflow_complete
22,gpu-static,mlrunner,449.1206090450287,mlrunner_success
23,gpu-static,mlrunner,450.6794078350067,mlrunner_success
24,gpu-static,mlrunner,453.65789008140564,mlrunner_success
25,gpu-static,mlrunner,429.1381516456604,mlrunner_success
26,gpu-static,mlrunner,450.4271237850189,mlrunner_failure
27,gpu-static,mlrunner,430.1554913520813,mlrunner_success
28,gpu-static,createsim,865.8737518787384,createsim_success
29,gpu-static,createsim,880.0781078338623,createsim_success
30,gpu-static,createsim,865.8073496818542,createsim_success
31,gpu-static,mlrunner,47.26350522041321,mlrunner_success
32,gpu-static,createsim,882.6633579730988,createsim_success
33,gpu-static,createsim,882.9968893527985,createsim_success
34,gpu-static,createsim,889.0353314876556,createsim_success
35,gpu-static,cganalysis,1967.2059202194214,cganalysis_success
36,gpu-static,cganalysis,1948.2819299697876,cganalysis_success
37,gpu-static,cganalysis,1944.1992688179016,cganalysis_success
38,gpu-static,cganalysis,1940.6108734607697,cganalysis_success
39,gpu-static,cganalysis,1941.842711687088,cganalysis_success
40,gpu-static,cganalysis,1939.6211194992065,cganalysis_success
