,experiment,job,sample,event,duration,global
21,cpu-static,createsim,structure_073573891,createsims_short_equilibration_0,166.08008480072021,createsims_short_equilibration
22,cpu-static,createsim,structure_073573891,createsims_pull_molecules_0,671.7582252025604,createsims_pull_molecules
23,cpu-static,createsim,structure_073573891,createsims_relax_protein,54.46397256851196,createsims_relax_protein
24,cpu-static,createsim,structure_073573891,createsims_short_equilibration_20fs,168.58347058296204,createsims_short_equilibration
25,cpu-static,createsim,structure_073573891,createsims_prime_cg_sim,0.936464786529541,createsims_prime_cg_sim
26,cpu-static,createsim,structure_096623376,createsim_runtime,1123.7751734256744,createsim_runtime
27,cpu-static,createsim,structure_096623376,createsims_create_cg_patch,0.0007865428924560547,createsims_create_cg_patch
28,cpu-static,createsim,structure_096623376,createsims_setup_cg_sim,1122.8316037654877,createsims_setup_cg_sim
29,cpu-static,createsim,structure_096623376,createsims_gromacs_energy_minimization_0,0.7533900737762451,createsims_gromacs_energy_minimization
30,cpu-static,createsim,structure_096623376,createsims_mdrun_lipids_water_0,3.89516019821167,createsims_mdrun_lipids_water
31,cpu-static,createsim,structure_096623376,createsims_trjconv_lipids_water_0,0.1693403720855713,createsims_trjconv_lipids_water
32,cpu-static,createsim,structure_096623376,createsims_gromacs_make_ndx_0,0.37450551986694336,createsims_gromacs_make_ndx
33,cpu-static,createsim,structure_096623376,createsims_generate_velocities_0,78.27476930618286,createsims_generate_velocities
34,cpu-static,createsim,structure_096623376,createsims_short_equilibration_0,173.99280166625977,createsims_short_equilibration
35,cpu-static,createsim,structure_096623376,createsims_pull_molecules_0,646.9546256065369,createsims_pull_molecules
36,cpu-static,createsim,structure_096623376,createsims_relax_protein,49.57072377204895,createsims_relax_protein
37,cpu-static,createsim,structure_096623376,createsims_short_equilibration_20fs,166.8649764060974,createsims_short_equilibration
38,cpu-static,createsim,structure_096623376,createsims_prime_cg_sim,0.9317915439605713,createsims_prime_cg_sim
39,cpu-static,createsim,structure_082988082,createsim_runtime,1081.6295282840729,createsim_runtime
40,cpu-static,createsim,structure_082988082,createsims_create_cg_patch,0.0007832050323486328,createsims_create_cg_patch
41,cpu-static,createsim,structure_082988082,createsims_setup_cg_sim,1080.6817309856415,createsims_setup_cg_sim
42,cpu-static,createsim,structure_082988082,createsims_gromacs_energy_minimization_0,0.7364184856414795,createsims_gromacs_energy_minimization
43,cpu-static,createsim,structure_082988082,createsims_mdrun_lipids_water_0,3.2386231422424316,createsims_mdrun_lipids_water
44,cpu-static,createsim,structure_082988082,createsims_trjconv_lipids_water_0,0.1677408218383789,createsims_trjconv_lipids_water
45,cpu-static,createsim,structure_082988082,createsims_gromacs_make_ndx_0,0.3729875087738037,createsims_gromacs_make_ndx
46,cpu-static,createsim,structure_082988082,createsims_generate_velocities_0,70.06728410720825,createsims_generate_velocities
47,cpu-static,createsim,structure_082988082,createsims_short_equilibration_0,157.63219571113586,createsims_short_equilibration
48,cpu-static,createsim,structure_082988082,createsims_pull_molecules_0,620.5303564071655,createsims_pull_molecules
49,cpu-static,createsim,structure_082988082,createsims_relax_protein,49.62972450256348,createsims_relax_protein
50,cpu-static,createsim,structure_082988082,createsims_short_equilibration_20fs,176.31874012947083,createsims_short_equilibration
51,cpu-static,createsim,structure_082988082,createsims_prime_cg_sim,0.9357602596282959,createsims_prime_cg_sim
52,cpu-static,createsim,structure_000006219,createsim_runtime,1169.5681610107422,createsim_runtime
53,cpu-static,createsim,structure_000006219,createsims_create_cg_patch,0.0008304119110107422,createsims_create_cg_patch
54,cpu-static,createsim,structure_000006219,createsims_setup_cg_sim,1168.6282677650452,createsims_setup_cg_sim
55,cpu-static,createsim,structure_000006219,createsims_gromacs_energy_minimization_0,0.7301537990570068,createsims_gromacs_energy_minimization
