,experiment,function,job,duration
0,cpu-static,cganalysis_load_mdanalysis,cganalysis,2.860722541809082
1,cpu-static,cganalysis_main_analysis,cganalysis,10670.142889022827
2,cpu-static,cganalysis_run,cganalysis,10703.388472795486
3,cpu-static,cganalysis_run_simulation,cganalysis,30.067265510559082
4,cpu-static,cganalysis_simrun,cganalysis,30.06671690940857
5,cpu-static,createsim_runtime,createsim,6810.279626369476
6,cpu-static,createsims_create_cg_patch,createsim,0.004758596420288086
7,cpu-static,createsims_generate_velocities,createsim,457.04697942733765
8,cpu-static,createsims_gromacs_energy_minimization,createsim,4.4390082359313965
9,cpu-static,createsims_gromacs_make_ndx,createsim,2.244049072265625
10,cpu-static,createsims_mdrun_lipids_water,createsim,21.177513599395752
11,cpu-static,createsims_prime_cg_sim,createsim,5.59395432472229
12,cpu-static,createsims_pull_molecules,createsim,3950.4274530410767
13,cpu-static,createsims_relax_protein,createsim,311.1493647098541
14,cpu-static,createsims_setup_cg_sim,createsim,6804.6139578819275
15,cpu-static,createsims_short_equilibration,createsim,2045.227523803711
16,cpu-static,createsims_trjconv_lipids_water,createsim,0.9928522109985352
17,gpu-static,cganalysis_load_mdanalysis,cganalysis,4.613696575164795
18,gpu-static,cganalysis_main_analysis,cganalysis,10672.765678405762
19,gpu-static,cganalysis_run,cganalysis,10707.948853254318
20,gpu-static,cganalysis_run_simulation,cganalysis,30.069071769714355
21,gpu-static,cganalysis_simrun,cganalysis,30.068254947662354
22,gpu-static,createsim_runtime,createsim,4380.513535737991
23,gpu-static,createsims_create_cg_patch,createsim,0.00773167610168457
24,gpu-static,createsims_generate_velocities,createsim,282.2451796531677
25,gpu-static,createsims_gromacs_energy_minimization,createsim,7.148199081420898
26,gpu-static,createsims_gromacs_make_ndx,createsim,3.0833656787872314
27,gpu-static,createsims_mdrun_lipids_water,createsim,16.859448194503784
28,gpu-static,createsims_prime_cg_sim,createsim,9.528762102127075
29,gpu-static,createsims_pull_molecules,createsim,2548.7905440330505
30,gpu-static,createsims_relax_protein,createsim,212.0810363292694
31,gpu-static,createsims_setup_cg_sim,createsim,4370.868760347366
32,gpu-static,createsims_short_equilibration,createsim,1281.4458258152008
33,gpu-static,createsims_trjconv_lipids_water,createsim,1.6815752983093262
