       JOBID USER     NAME       ST NTASKS NNODES     TIME INFO
  ƒ2JxKXQSRM ubuntu   cganalysis CD      1      1    29.8m i-0de12c6c888a06746
  ƒ2JZgevSEK ubuntu   cganalysis CD      1      1    29.8m i-0ddcdd3e4148b6341
  ƒ2JZjYT35H ubuntu   cganalysis CD      1      1    29.8m i-05c5ad7a2c0e69096
  ƒ2JPG8jHV9 ubuntu   cganalysis CD      1      1   29.81m i-0736e864e12f26c05
  ƒ2DLj6UfYT ubuntu   createsim  CD      1      1   12.31m i-0de12c6c888a06746
  ƒ2DKBTC6F9 ubuntu   createsim  CD      1      1   11.51m i-0ddcdd3e4148b6341
  ƒ2DKGibYJB ubuntu   createsim  CD      1      1   11.51m i-0757c9a3fbc70239a
  ƒ2DGr77f5H ubuntu   createsim  CD      1      1   11.21m i-0573165421488a571
   ƒyn7TQE5D ubuntu   cganalysis CD      1      1    29.8m i-05c5ad7a2c0e69096
  ƒ2DDes7PpK ubuntu   mlrunner   CD      1      1   15.99s i-0de12c6c888a06746
  ƒ2DBFuzhuq ubuntu   mlrunner   CD      1      1   17.77s i-0757c9a3fbc70239a
  ƒ2DBwmHQFR ubuntu   mlrunner   CD      1      1   16.19s i-0ddcdd3e4148b6341
  ƒ2D9iRc4Jb ubuntu   mlrunner   CD      1      1      16s i-0573165421488a571
   ƒygM6ECkX ubuntu   cganalysis CD      1      1   29.81m i-0736e864e12f26c05
   ƒydX3Fg7R ubuntu   cganalysis CD      1      1    29.8m i-0de12c6c888a06746
   ƒybnH4VE7 ubuntu   cganalysis CD      1      1    29.8m i-0ddcdd3e4148b6341
   ƒyb7xj3oD ubuntu   cganalysis CD      1      1    29.8m i-0757c9a3fbc70239a
   ƒyZY3VaRD ubuntu   cganalysis CD      1      1    29.8m i-0573165421488a571
   ƒtLJE9gW3 ubuntu   createsim  CD      1      1   11.94m i-05c5ad7a2c0e69096
   ƒtLc6T2V5 ubuntu   createsim  CD      1      1   11.71m i-0736e864e12f26c05
   ƒtLSP5jQ3 ubuntu   createsim  CD      1      1   11.61m i-0de12c6c888a06746
   ƒtLNDRkTq ubuntu   createsim  CD      1      1   11.55m i-0ddcdd3e4148b6341
   ƒtLQD4nSj ubuntu   createsim  CD      1      1   11.52m i-0757c9a3fbc70239a
   ƒtLXbXCtP ubuntu   createsim  CD      1      1   11.46m i-0573165421488a571
   ƒtDHSvjpT ubuntu   mlrunner   CD      1      1   16.55s i-0736e864e12f26c05
   ƒtDPMPsv7 ubuntu   mlrunner   CD      1      1   16.15s i-0573165421488a571
   ƒtDJvv2AT ubuntu   mlrunner   CD      1      1    16.1s i-0de12c6c888a06746
   ƒtDFxwTUT ubuntu   mlrunner   CD      1      1   16.12s i-0ddcdd3e4148b6341
   ƒtDMttarT ubuntu   mlrunner   CD      1      1   15.84s i-0757c9a3fbc70239a
   ƒtDLQuJWT ubuntu   mlrunner   CD      1      1   15.61s i-05c5ad7a2c0e69096
