,experiment,jobid,step,duration,event,iteration,labels
0,ml-mummi,,workflow_start,583.8310945034027,workflow_complete,0,workflow complete
1,ml-mummi,job_022813226,pytorch,119.3817822933197,pytorch_success,0,pytorch success
