NAME                                             READY   STATUS      RESTARTS   AGE     IP               NODE                                           NOMINATED NODE   READINESS GATES
cganalysis-structure-iter00-000000000000-62724   0/1     Completed   0          66m     192.168.28.173   ip-192-168-31-242.us-east-2.compute.internal   <none>           <none>
cganalysis-structure-iter00-000000000001-fzmvl   0/1     Completed   0          66m     192.168.21.167   ip-192-168-31-102.us-east-2.compute.internal   <none>           <none>
cganalysis-structure-iter00-000000000002-6r2rp   0/1     Completed   0          66m     192.168.2.103    ip-192-168-24-42.us-east-2.compute.internal    <none>           <none>
cganalysis-structure-iter00-000000000003-bbrgn   0/1     Completed   0          35m     192.168.18.104   ip-192-168-24-42.us-east-2.compute.internal    <none>           <none>
cganalysis-structure-iter00-000000000004-cjf54   0/1     Completed   0          35m     192.168.27.240   ip-192-168-31-242.us-east-2.compute.internal   <none>           <none>
cganalysis-structure-iter00-000000000005-r4wrl   0/1     Completed   0          35m     192.168.22.46    ip-192-168-31-102.us-east-2.compute.internal   <none>           <none>
createsim-structure-iter00-000000000000-ptnjt    0/1     Completed   0          92m     192.168.10.25    ip-192-168-24-42.us-east-2.compute.internal    <none>           <none>
createsim-structure-iter00-000000000001-pplsv    0/1     Completed   0          92m     192.168.26.201   ip-192-168-25-75.us-east-2.compute.internal    <none>           <none>
createsim-structure-iter00-000000000002-br82l    0/1     Completed   0          92m     192.168.30.174   ip-192-168-31-242.us-east-2.compute.internal   <none>           <none>
createsim-structure-iter00-000000000003-z5t4b    0/1     Completed   0          66m     192.168.26.118   ip-192-168-25-75.us-east-2.compute.internal    <none>           <none>
createsim-structure-iter00-000000000004-9qszt    0/1     Completed   0          66m     192.168.13.131   ip-192-168-25-75.us-east-2.compute.internal    <none>           <none>
createsim-structure-iter00-000000000005-t8f9p    0/1     Completed   0          66m     192.168.21.176   ip-192-168-25-75.us-east-2.compute.internal    <none>           <none>
createsim-structure-iter00-000000000006-r8bnh    1/1     Running     0          4m51s   192.168.27.232   ip-192-168-24-42.us-east-2.compute.internal    <none>           <none>
createsim-structure-iter00-000000000007-dn8jg    1/1     Running     0          4m51s   192.168.12.226   ip-192-168-25-75.us-east-2.compute.internal    <none>           <none>
createsim-structure-iter00-000000000008-8m75x    1/1     Running     0          4m50s   192.168.8.75     ip-192-168-31-242.us-east-2.compute.internal   <none>           <none>
mummi-sample-mlserver-74dcfc8dc5-btqng           1/1     Running     0          94m     192.168.26.13    ip-192-168-26-136.us-east-2.compute.internal   <none>           <none>
mummi-sample-rabbitmq-5d874bc456-24bcd           1/1     Running     0          94m     192.168.8.5      ip-192-168-24-42.us-east-2.compute.internal    <none>           <none>
mummi-sample-wfmanager-64d87ddb87-x6kk9          1/1     Running     0          92m     192.168.26.126   ip-192-168-25-75.us-east-2.compute.internal    <none>           <none>
registry-0                                       1/1     Running     0          94m     192.168.29.34    ip-192-168-31-242.us-east-2.compute.internal   <none>           <none>
