,experiment,job,count,iteration
0,cpu-static,mlsample,2,0
1,cpu-static,createsim,0,0
2,cpu-static,cganalysis,0,0
3,cpu-static,mlsample,0,1
4,cpu-static,createsim,0,1
5,cpu-static,cganalysis,0,1
6,cpu-static,mlsample,1,2
7,cpu-static,createsim,0,2
8,cpu-static,cganalysis,0,2
9,cpu-autoscale,mlsample,2,0
10,cpu-autoscale,createsim,0,0
11,cpu-autoscale,cganalysis,0,0
12,cpu-autoscale,mlsample,1,1
13,cpu-autoscale,createsim,0,1
14,cpu-autoscale,cganalysis,0,1
15,gpu-static,mlsample,1,0
16,gpu-static,createsim,0,0
17,gpu-static,cganalysis,0,0
18,gpu-static,mlsample,0,1
19,gpu-static,createsim,0,1
20,gpu-static,cganalysis,0,1
21,gpu-static,mlsample,0,2
22,gpu-static,createsim,0,2
23,gpu-static,cganalysis,0,2
