,name,kind,job,event,duration,container,experiment,iteration
22,aws-node-687lz,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
23,aws-node-687lz,Pod,,pulled,1.033227393,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
24,aws-node-csgrh,Pod,,pulled-timestamp,1741902906.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
25,aws-node-csgrh,Pod,,pulling-timestamp,1741902904.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
26,aws-node-csgrh,Pod,,scheduled-timestamp,1741902893.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
27,aws-node-csgrh,Pod,,created-timestamp,1741902906.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
28,aws-node-csgrh,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
29,aws-node-csgrh,Pod,,started-timestamp,1741902906.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
30,aws-node-csgrh,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
31,aws-node-csgrh,Pod,,pulled,1.159757989,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
32,aws-node-lws7j,Pod,,pulled-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
33,aws-node-lws7j,Pod,,pulling-timestamp,1741902902.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
34,aws-node-lws7j,Pod,,scheduled-timestamp,1741902892.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
35,aws-node-lws7j,Pod,,created-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
36,aws-node-lws7j,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
37,aws-node-lws7j,Pod,,started-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
38,aws-node-lws7j,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
39,aws-node-lws7j,Pod,,pulled,0.98724396,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
40,aws-node-xqclh,Pod,,pulled-timestamp,1741902902.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
41,aws-node-xqclh,Pod,,pulling-timestamp,1741902901.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
42,aws-node-xqclh,Pod,,scheduled-timestamp,1741902890.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
43,aws-node-xqclh,Pod,,created-timestamp,1741902902.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
44,aws-node-xqclh,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
45,aws-node-xqclh,Pod,,started-timestamp,1741902902.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
46,aws-node-xqclh,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
47,aws-node-xqclh,Pod,,pulled,1.081036092,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
48,aws-node-zlrxm,Pod,,pulled-timestamp,1741902900.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
49,aws-node-zlrxm,Pod,,pulling-timestamp,1741902899.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
50,aws-node-zlrxm,Pod,,scheduled-timestamp,1741902890.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
51,aws-node-zlrxm,Pod,,created-timestamp,1741902900.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
52,aws-node-zlrxm,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
53,aws-node-zlrxm,Pod,,started-timestamp,1741902900.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
54,aws-node-zlrxm,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
55,aws-node-zlrxm,Pod,,pulled,1.126518146,602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon/aws-network-policy-agent:v1.1.5-eksbuild.1,cpu-static,0
56,coredns-d9b6d6c7d-mkp5l,Pod,,pulled-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
57,coredns-d9b6d6c7d-mkp5l,Pod,,pulling-timestamp,1741902902.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
58,coredns-d9b6d6c7d-mkp5l,Pod,,scheduled-timestamp,1741902901.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
59,coredns-d9b6d6c7d-mkp5l,Pod,,created-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
60,coredns-d9b6d6c7d-mkp5l,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
61,coredns-d9b6d6c7d-mkp5l,Pod,,started-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
62,coredns-d9b6d6c7d-mkp5l,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
63,coredns-d9b6d6c7d-mkp5l,Pod,,pulled,1.17665076,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
64,coredns-d9b6d6c7d-nnk4x,Pod,,pulled-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
65,coredns-d9b6d6c7d-nnk4x,Pod,,pulling-timestamp,1741902902.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
66,coredns-d9b6d6c7d-nnk4x,Pod,,scheduled-timestamp,1741902901.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
67,coredns-d9b6d6c7d-nnk4x,Pod,,created-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
68,coredns-d9b6d6c7d-nnk4x,Pod,,created,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
69,coredns-d9b6d6c7d-nnk4x,Pod,,started-timestamp,1741902903.0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
70,coredns-d9b6d6c7d-nnk4x,Pod,,started,0,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
71,coredns-d9b6d6c7d-nnk4x,Pod,,pulled,1.152031498,602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/coredns:v1.10.1-eksbuild.4,cpu-static,0
