,experiment,cost,environment,iteration
0,cpu static,14.261948559433222,static,0
1,cpu static,14.01012145368576,static,1
2,cpu static,14.282956163002252,static,2
3,cpu autoscale,12.178196196105482,autoscale,0
4,cpu autoscale,12.04902302775264,autoscale,1
5,cpu autoscale,13.746289605970981,autoscale,2
6,gpu static,30.50271670575142,static,0
7,gpu static,30.685779161667824,static,1
8,gpu static,30.390030099606516,static,2
9,gpu autoscale,26.261729870343206,autoscale,0
10,gpu autoscale,26.212380714356897,autoscale,1
11,gpu autoscale,26.641778948354723,autoscale,2
